Firstname,Lastname,Email,Salary,Department
Cairo,Ford,fcairo6191@gmail.com,4564.62,Media Relations
Zorita,Nelson,z_nelson@gmail.com,5234.62,Tech Support
Jonah,Richardson,r-jonah2351@gmail.com,15064.50,Human Resources
Shea,Robinson,s_robinson@gmail.com,6285.93,Payroll
Olivia,Montgomery,omontgomery@gmail.com,11035.83,Advertising
Brynn,Murray,murray_brynn@gmail.com,10282.49,Sales and Marketing
Quinlan,Powell,q-powell8332@gmail.com,10799.37,Finances
Shaine,Fernandez,f.shaine@gmail.com,8104.58,Media Relations
Maryam,Kennedy,m-kennedy1702@gmail.com,8432.46,Customer Relations
Faith,Park,park_faith7536@gmail.com,5396.06,Asset Management
Randall,Flores,frandall8468@gmail.com,7012.59,Sales and Marketing
Naomi,Harper,harper-naomi@gmail.com,8860.91,Sales and Marketing
Hedwig,Brown,brown_hedwig@gmail.com,7630.36,Customer Relations
Dale,Hill,hdale@gmail.com,11647.82,Customer Relations
Hayes,Banks,banks.hayes9775@gmail.com,6541.56,Customer Service
Lysandra,Pena,lysandra.pena1462@gmail.com,8744.11,Advertising
Oscar,Name,nameoscar8195@gmail.com,6049.27,Finances
Buckminster,Rios,b-rios2901@gmail.com,6689.68,Payroll
Jonas,Lawrence,jonaslawrence6010@gmail.com,5735.04,Tech Support
Ora,James,j-ora@gmail.com,9745.54,Finances
Harlan,Garcia,garcia_harlan3044@gmail.com,10756.75,Media Relations
Charles,Morales,c_morales@gmail.com,7676.95,Customer Service
Uriel,Foster,foster.uriel4952@gmail.com,10849.71,Finances
Amal,Vargas,vargas_amal3037@gmail.com,8554.20,Media Relations
Camilla,Ford,ford-camilla@gmail.com,9521.29,Asset Management
Victor,Nichols,nichols-victor2745@gmail.com,3618.43,Human Resources
Shelly,Bradley,sbradley339@gmail.com,10890.81,Asset Management
Penelope,Fernandez,penelope.fernandez2412@gmail.com,5653.98,Asset Management
Nayda,Simpson,nsimpson3036@gmail.com,6956.25,Payroll
Bruno,Powell,bruno.powell@gmail.com,5582.75,Asset Management
Olga,Bradley,bradley_olga@gmail.com,4542.84,Legal Department
Rahim,Cooper,r-cooper@gmail.com,5849.85,Asset Management
Gavin,Hernandez,g-hernandez@gmail.com,11075.26,Customer Service
Gil,Fields,fields.gil@gmail.com,10482.91,Human Resources
Raymond,Walker,walker-raymond4002@gmail.com,9983.57,Media Relations
Nolan,Turner,t.nolan2463@gmail.com,10879.88,Customer Service
Grant,Ross,ross-grant@gmail.com,6415.55,Advertising
Lenore,Jensen,j-lenore@gmail.com,9930.52,Payroll
Nichole,Rice,nichole.rice5161@gmail.com,4187.96,Media Relations
Gabriel,Santos,g.santos@gmail.com,8684.26,Media Relations
Olga,Turner,olgaturner9969@gmail.com,2752.55,Sales and Marketing
Wyoming,Bailey,b-wyoming@gmail.com,9454.96,Payroll
Ali,Warren,w.ali@gmail.com,8011.96,Media Relations
Nelle,Contreras,contreras_nelle@gmail.com,8509.32,Asset Management
Cedric,Bowman,bowman-cedric@gmail.com,4306.52,Media Relations
Fritz,Hunt,fhunt@gmail.com,11588.97,Customer Service
Lucian,Johnston,johnstonlucian@gmail.com,7618.93,Legal Department
Yasir,Hawkins,h-yasir@gmail.com,9785.30,Legal Department
Claudia,Lane,lane.claudia5199@gmail.com,8908.10,Legal Department
Kay,Hill,hillkay2212@gmail.com,5692.20,Media Relations
Eleanor,Wells,e_wells7586@gmail.com,9193.04,Customer Relations
Garrison,Bradley,bradley_garrison5427@gmail.com,7269.65,Media Relations
Amena,Perkins,amena-perkins1407@gmail.com,11706.57,Human Resources
Bertha,Olson,olson_bertha9415@gmail.com,6063.95,Advertising
Deirdre,Gordon,g-deirdre3748@gmail.com,2613.39,Tech Support
Solomon,Pena,psolomon5284@gmail.com,8670.32,Media Relations
Isaac,Jackson,i.jackson@gmail.com,7315.73,Customer Relations
Igor,Guerrero,i_guerrero@gmail.com,4555.63,Legal Department
Hermione,Allen,allen-hermione7773@gmail.com,7812.92,Media Relations
Dacey,Carroll,carroll_dacey@gmail.com,8432.08,Legal Department
Jameson,Rice,jrice@gmail.com,9082.91,Finances
Melvin,Green,gmelvin1737@gmail.com,5535.90,Human Resources
Alan,Brooks,alan.brooks702@gmail.com,6387.65,Advertising
Howard,Moreno,mhoward6608@gmail.com,8847.58,Customer Relations
Harriet,Munoz,h_munoz@gmail.com,3465.42,Media Relations
Oleg,Evans,oleg_evans3035@gmail.com,10744.92,Tech Support
Kameko,Lewis,k_lewis2947@gmail.com,9660.01,Finances
Quamar,Larson,q.larson@gmail.com,14427.24,Payroll
Gregory,Cole,gregorycole@gmail.com,8087.22,Legal Department
Vera,Miller,veramiller4085@gmail.com,5986.81,Asset Management
Dolan,Stone,stone_dolan@gmail.com,8113.09,Tech Support
Len,Nichols,nichols-len@gmail.com,8391.59,Finances
Lara,Hart,lhart9497@gmail.com,11959.59,Customer Relations
Margaret,Burton,burton_margaret7710@gmail.com,7001.46,Advertising
Jada,Andrews,j-andrews@gmail.com,9373.29,Media Relations
Timon,Garcia,t-garcia7167@gmail.com,5765.42,Media Relations
Bradley,Cooper,cooper_bradley6988@gmail.com,2200.33,Customer Service
Owen,Foster,o_foster155@gmail.com,10496.43,Legal Department
Lionel,Morgan,lionel-morgan8860@gmail.com,6952.38,Advertising
Hamish,Moreno,h.moreno@gmail.com,4031.98,Asset Management
